,1000,2000
0,0.7250694449499309,0.4231895260991228
1,1.1666191840863598,0.7507623094051852
2,0.21998693588927382,0.2316073901895417
3,0.36595938000870015,0.22226232739062357
4,0.2147737694338177,0.15665228372924092
5,0.26224716537916093,0.16000352566066167
6,0.19588855337897496,0.1445019515358807
7,0.23076173517473395,0.14355503371003947
8,0.19022106195514893,0.14333907820028458
9,0.1997815965633657,0.14556733793893892
10,0.17986829526950032,0.1531124109903629
11,0.18656603793198723,0.15391968381140333
12,0.17873938213566887,0.15875506916481594
